Title,Rating,Reviews,Discount Price,Original Price,Off
Tecno Spark Go 2023,3.1,65.0,20999.0,30999.0,32%
Calme Four Sim,4.3,,,3549.0,
Faywa Diamond,4.8,15.0,3599.0,4000.0,10%
VGO Tel New 26,3.4,3.0,25599.0,27500.0,7%
Nokia 110 2023,1.8,1.0,5999.0,6899.0,13%
VGO TEL Smart HI-FI,4.6,5.0,4899.0,5324.0,8%
Faywa Smart 4G,1.4,8.0,7349.0,9499.0,23%
Infinix Hot 50 Pro Plus,2.8,4.0,,59499.0,
itel P65,4.5,2.0,,27999.0,
Calme Music 400,3.0,,,3499.0,
Itel Power 700 2024,1.2,,4399.0,4499.0,2%
Itel Muzik 430,3.5,26.0,3640.0,3799.0,4%
Sparx Edge 20 Pro,2.5,42.0,41999.0,52499.0,20%
GFive 16 Pro Max,2.9,,4599.0,5999.0,23%
Calme 4G Hot,2.2,15.0,5199.0,5200.0,0%
Xiaomi Redmi 13C,2.2,745.0,28999.0,31999.0,9%
Tecno Spark Go 2024,3.8,106.0,22299.0,24999.0,11%
Tecno Spark 20 Pro Plus,1.6,136.0,54499.0,59999.0,9%
Vivo Y18,1.2,13.0,33899.0,38499.0,12%
Vivo Y28,3.8,9.0,40099.0,46999.0,15%
Calme C552,3.8,,,3049.0,
Samsung Galaxy S24,4.2,10.0,250999.0,289999.0,13%
Faywa Smart Max,3.0,3.0,3249.0,3999.0,19%
Itel A05s,1.3,37.0,18899.0,20999.0,10%
Qmobile E 3000,1.2,,,3999.0,
Tecno Camon 30,4.0,129.0,47699.0,57999.0,18%
Club Mobile A90+,2.1,,2969.0,3099.0,4%
Itel It2176,2.2,5.0,,3199.0,
Sparx Neo 5 Pro,4.4,5.0,17149.0,18499.0,7%
Poco M6 Pro,5.0,9.0,83999.0,89999.0,7%
VGO TEL Four 22,2.0,6.0,,3549.0,
FAYWA Eagle 2 (4 SIM),1.0,32.0,2899.0,3999.0,28%
Tecno Pop 7,1.2,21.0,17899.0,20699.0,14%
GFive Falak,2.6,4.0,3199.0,3399.0,6%
Memobile Ismart Max,2.0,,3599.0,3699.0,3%
VNUS SE22,1.4,11.0,16100.0,27999.0,42%
Itel S24,1.4,90.0,25299.0,33999.0,26%
VGO TEL New 15,2.6,59.0,,17499.0,
Sparx Note 20,4.5,33.0,34899.0,37999.0,8%
VGO TEL Four 44,4.6,,,3999.0,
calme CL 888,3.0,1.0,,3049.0,
ZTE Blade A55,4.2,10.0,19799.0,20999.0,6%
Apple iPhone 12,1.8,23.0,174999.0,200000.0,13%
Club Mobile 4 Plus (4-sim),4.7,,3179.0,3299.0,4%
Infinix Smart 9,4.4,,26999.0,28999.0,7%
Sparx Neo 8 Pro,1.0,5.0,22999.0,23499.0,2%
Realme C65,2.8,3.0,43599.0,44999.0,3%
Gfive Baadshah,2.7,,,3349.0,
Faywa Smart 2,4.9,1.0,3699.0,3949.0,6%
itel Flip 1,4.1,10.0,6099.0,6999.0,13%
Calme 4G Spark,4.4,4.0,9499.0,9950.0,5%
Calme 4G turbo,1.3,1.0,,4899.0,
CALME M23,4.9,1.0,2399.0,2549.0,6%
Club Mobile 15 pro Metal,4.1,,3099.0,3199.0,3%
FAYWA Prime 1,2.0,,2349.0,2499.0,6%
Faywa Smart 3,4.8,2.0,3749.0,5000.0,25%
Apple iPhone 11,2.1,151.0,138999.0,207999.0,33%
Realme Note 50,1.6,211.0,22599.0,24999.0,10%
Calme 4G Super,1.6,,,6399.0,
Itel Magic 4,1.5,6.0,4249.0,6199.0,31%
Vivo Y19s,2.0,2.0,34299.0,38999.0,12%
Hello Tech G7,4.4,,,2399.0,
GFive Music 200,4.5,9.0,,2399.0,
ZTE Blade A35,1.5,1.0,17899.0,18999.0,6%
Club Mobile Light club pro,1.8,,,2999.0,
Apple iPhone 14,3.3,3.0,274999.0,299999.0,8%
Gfive 15 Pro,3.3,,3749.0,3899.0,4%
Calme 4g Platinum,3.1,3.0,,5599.0,
FAYWA Eagle 1,1.6,,3299.0,3549.0,7%
QMobile QSmart 8,3.0,4.0,18199.0,18999.0,4%
Oppo Reno 12F 4G,1.2,12.0,54099.0,59999.0,10%
VGO TEL NEW 12,3.8,43.0,15999.0,16750.0,4%
Calme Music 500,4.6,,,3199.0,
Faywa F110,3.0,6.0,2149.0,2385.0,10%
Nokia C12 Pro,4.6,,19099.0,22999.0,17%
Samsung Galaxy A54 5G,1.2,136.0,105500.0,140999.0,25%
Samsung Galaxy S23 FE,2.4,39.0,179999.0,204999.0,12%
Itel P40 4G,3.9,52.0,18799.0,21999.0,15%
itel Power 120,4.2,6.0,3099.0,3199.0,3%
VGO TEL New 25,1.2,,24799.0,26500.0,6%
Oppo Reno 12F 5G,4.7,1.0,,82499.0,
VGO TEL i10,3.1,2.0,,3849.0,
Itel Neo X30+,3.8,9.0,6499.0,7000.0,7%
Calme Ultra Slim,2.4,1.0,,2999.0,
Calme CL251,2.5,,2799.0,3399.0,18%
Villaon V210,3.1,,,2699.0,
Qmobile Spark 4000,4.1,3.0,,3899.0,
Apple iPhone 16 Pro Max,1.7,1.0,519999.0,540500.0,4%
Vivo Y19s,4.8,2.0,34299.0,38999.0,12%
itel Value 100,3.8,69.0,2799.0,2899.0,3%
GFive Smart,2.6,4.0,,2399.0,
E-Tachi E8 Classic,2.3,1.0,,3649.0,
FAYWA SMART 1,2.4,1.0,3549.0,4199.0,15%
Samsung Galaxy Z Flip 6,4.2,1.0,335999.0,384999.0,13%
Xiaomi 14,1.5,5.0,238999.0,339999.0,30%
itel S23 Plus,2.6,4.0,37499.0,44999.0,17%
Calme Power light,2.6,,,3099.0,
Digit Infinity,4.9,56.0,13349.0,22999.0,42%
HONOR X9b,4.0,1.0,108999.0,129999.0,16%
QMobile QStar Max,1.4,9.0,,4099.0,
Samsung Galaxy A04s,4.7,210.0,27999.0,39999.0,30%
Samsung Galaxy S23 Ultra,4.4,13.0,336999.0,382999.0,12%
Apple iPhone 13,2.2,12.0,240499.0,274999.0,13%
Apple iPhone 16,3.4,1.0,355999.0,369000.0,4%
Tecno Spark 20C,2.7,110.0,26999.0,27999.0,4%
Sparx Neo 5 Plus,3.1,34.0,18299.0,19499.0,6%
E-Tachi E-Prime,3.9,4.0,3699.0,3899.0,5%
E-tachi E9 Metal,4.9,,3299.0,3500.0,6%
Faywa F6,2.5,2.0,2399.0,2449.0,2%
FAYWA F14 Pro (4 Sim),4.1,9.0,3199.0,4099.0,22%
VGO TEL i710,1.4,,,4299.0,
Calme Music 300,1.5,,,3149.0,
Calme 4G Edge,3.3,,9149.0,9500.0,4%
Calme C222,4.1,,,3099.0,
Memobile E100,2.5,,2199.0,2399.0,8%
Memobile I touch,4.5,,3749.0,3899.0,4%
FAYWA F14 Pro (4 Sim),1.1,9.0,3199.0,4099.0,22%
Sparx Neo 5 Plus,4.4,34.0,18299.0,19499.0,6%
XSmart Nova 7,4.1,2.0,19999.0,20499.0,2%
Villaon V220,1.5,,,2999.0,
Samsung Galaxy A04,1.6,646.0,24999.0,35500.0,30%
Oppo Reno 11 5G,3.7,5.0,104999.0,129999.0,19%
Xiaomi 14T Pro,4.4,2.0,203999.0,229999.0,11%
VGO TEL iMusic Lite,4.1,2.0,,3899.0,
Itel P40 4G,3.3,52.0,18799.0,21999.0,15%
itel Power 120,4.9,6.0,3099.0,3199.0,3%
GFive iMaxx,3.6,1.0,,2949.0,
Calme battery ka pehlwan,4.8,3.0,,3524.0,
Calme C108,1.4,,,2599.0,
calme C661,2.5,,,2999.0,
me Mobile Power 4,1.6,1.0,3199.0,3299.0,3%
Memobile Dj Power,2.0,2.0,3499.0,3599.0,3%
GRESSO Jugnu,2.2,2.0,,2799.0,
Sparx Neo 6 Plus,4.7,1.0,18100.0,19499.0,7%
Honor 90 Lite,2.2,2.0,83999.0,89999.0,7%
XMobile Disco Plus,2.2,,,3899.0,
E-Tachi E40i,1.2,3.0,3699.0,3799.0,3%
E-Tachi Mega Music Pro,2.1,,3549.0,3825.0,7%
E-Tachi iPro,3.1,14.0,,4999.0,
Faywa F7,3.7,1.0,2149.0,2399.0,10%
Faywa Pro 1 4g,4.9,,7599.0,7600.0,0%
Villaon Pock 1,2.9,5.0,,3049.0,
Hello Tech G1,3.5,,,2450.0,
Samsung Galaxy A14,3.4,381.0,35999.0,56999.0,37%
Xiaomi 14T,4.0,6.0,156999.0,175999.0,11%
VGO TEL S22,1.8,,,4399.0,
GFive Big Falak,4.0,,,3149.0,
Calme 4g Star,1.0,9.0,7499.0,8000.0,6%
Calme 4g Cloud,1.8,,,5499.0,
XMobile X2 Play,4.8,,,2699.0,
FAYWA Prime 2,3.8,1.0,2149.0,2449.0,12%
Honor X8b,3.7,10.0,69499.0,79999.0,13%
Calme 4g Cloud,3.4,,,5499.0,
XMobile Music Master,2.1,,,3699.0,
Spice S5,3.3,,,2999.0,
Honor 90,4.4,1.0,144999.0,179999.0,19%
KXD Classic Core A09,3.7,,20399.0,22500.0,9%
Hello Tech V2,1.0,,,2399.0,
itel Value 100,2.3,69.0,2799.0,2899.0,3%
VGO TEL i15,3.5,,,4349.0,
GFive Lion,4.3,,,3350.0,
Calme C251 Lite,2.1,,,2699.0,
Calme Ultra Lite S,1.7,1.0,,2899.0,
Calme Ultra Pro X,3.8,,,3349.0,
Memobile Plantinum 2,3.8,,3699.0,3799.0,3%
Samsung Galaxy A15,2.3,238.0,45500.0,52999.0,14%
FAYWA J3 Slim,2.6,3.0,2999.0,3999.0,25%
Sparx Neo 8 Plus,5.0,,21299.0,22999.0,7%
